PracticeImage,ImageCategory,SoundFile,CorrectAns,ReactivityImage1,PictureRatings_1,prac_reac_loop.thisRepN,prac_reac_loop.thisTrialN,prac_reac_loop.thisN,prac_reac_loop.thisIndex,reac_1_loop.thisRepN,reac_1_loop.thisTrialN,reac_1_loop.thisN,reac_1_loop.thisIndex,prt_1_loop.thisRepN,prt_1_loop.thisTrialN,prt_1_loop.thisN,prt_1_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,practice_reac_image.started,practice_reac_image.stopped,practice_reac_sound.started,practice_reac_sound.stopped,practice_reac_keys.keys,practice_reac_keys.corr,practice_reac_keys.started,practice_reac_keys.stopped,blank_1second.started,blank_1second.stopped,practice_reac_keys.rt,post_prac_reac_text.started,post_prac_reac_text.stopped,post_prac_reac_resp.keys,post_prac_reac_resp.rt,post_prac_reac_resp.started,post_prac_reac_resp.stopped,reac_1_image.started,reac_1_image.stopped,reac_1_sound.started,reac_1_sound.stopped,reac_1_keys.keys,reac_1_keys.corr,reac_1_keys.rt,reac_1_keys.started,reac_1_keys.stopped,blank2_1second.started,blank2_1second.stopped,postreac1_slide1_text.started,postreac1_slide1_text.stopped,postreac1_slide1_resp.keys,postreac1_slide1_resp.rt,postreac1_slide1_resp.started,postreac1_slide1_resp.stopped,postreac1_slide2_text.started,postreac1_slide2_text.stopped,postreac1_slide2_resp.keys,postreac1_slide2_resp.rt,postreac1_slide2_resp.started,postreac1_slide2_resp.stopped,postreac1_slide3_text.started,postreac1_slide3_text.stopped,postreac1_slide3_resp.keys,postreac1_slide3_resp.rt,postreac1_slide3_resp.started,postreac1_slide3_resp.stopped,prt_1_image.started,prt_1_image.stopped,prt_1_image_intensity.started,prt_1_image_intensity.stopped,prt_1_image_intensity_resp.keys,prt_1_image_intensity_resp.rt,prt_1_image_intensity_resp.started,prt_1_image_intensity_resp.stopped,prt_1_image_intensity_text.started,prt_1_image_intensity_text.stopped,prt_1_vas.response,prt_1_vas.rt,prt_1_vas.started,prt_1_vas.stopped,prt_1_vas_guide.started,prt_1_vas_guide.stopped,prt_1_vas_instructions.started,prt_1_vas_instructions.stopped,blank_10seconds.started,blank_10seconds.stopped,pre_m_text.started,pre_m_text.stopped,pre_m_resp.keys,pre_m_resp.rt,pre_m_resp.started,pre_m_resp.stopped,m_audio_file.started,m_audio_file.stopped,m_inprogress_text.started,m_inprogress_text.stopped,pleasewait_text.started,pleasewait_text.stopped,pleasewait_resp.keys,pleasewait_resp.rt,pleasewait_resp.started,pleasewait_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Pleasant,sounds/high 1 second.wav,num_2,images/2360.jpg,,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.39615387157824,None,195.39615387157824,None,num_2,1,2.1502205745814535,195.39615387157824,None,201.3496613409468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/high 4 second.wav,num_2,images/2311.jpg,,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.38514106737534,None,202.38514106737534,None,num_2,1,5.337830058116651,202.38514106737534,None,208.3396587148443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/high 1 second.wav,num_2,images/9280.jpg,,,,,,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.3764481873584,None,209.3764481873584,None,num_2,1,2.0170044643741676,209.3764481873584,None,215.32987332811285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/high 1 second.wav,num_2,images/1900.jpg,,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.364535176853,None,216.364535176853,None,num_2,1,2.319435922798675,216.364535176853,None,222.32056448583967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 4 second.wav,num_1,images/7038.jpg,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.35785724458742,None,223.35785724458742,None,num_1,1,5.1533806111906415,223.35785724458742,None,229.31063036675891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/high 1 second.wav,num_2,images/9561.jpg,,,,,,0,6,6,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.34532767088717,None,230.34532767088717,None,num_2,1,2.3193839415935145,230.34532767088717,None,236.30103487668407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/high 1 second.wav,num_2,images/2391.jpg,,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.33518983355793,None,237.33518983355793,None,num_2,1,2.2698987358048726,237.33518983355793,None,243.30798202952633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 1 second.wav,num_1,images/7080.jpg,,,,,,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.34559568958616,None,244.34559568958616,None,num_1,1,2.3166042992361326,244.34559568958616,None,250.29829820145028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/low 4 second.wav,num_1,images/2278.jpg,,,,,,0,9,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.33590675353048,None,251.33590675353048,None,num_1,1,5.3528703540669085,251.33590675353048,None,257.28866635457894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 4 second.wav,num_2,images/2190.jpg,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.3288559387472,None,258.3288559387472,None,num_2,1,5.0164407837924045,258.3288559387472,None,264.2789332495224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 1 second.wav,num_2,images/7235.jpg,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.31404430000543,None,265.31404430000543,None,num_2,1,2.3688907811779245,265.31404430000543,None,271.26937922422417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/high 4 second.wav,num_2,images/9008.jpg,,,,,,0,12,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.306975457059,None,272.306975457059,None,num_2,1,4.9195135640898116,272.306975457059,None,278.2596307952283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 1 second.wav,num_2,images/2570.jpg,,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.27459387054455,None,279.27459387054455,None,num_2,1,2.0221938712656993,279.27459387054455,None,285.24997971831567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/low 1 second.wav,num_1,images/9041.jpg,,,,,,0,14,14,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.28411995218926,None,286.28411995218926,None,num_1,1,2.169590334019631,286.28411995218926,None,292.2402309888505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 1 second.wav,num_2,images/5510.jpg,,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.27436461239745,None,293.27436461239745,None,num_2,1,2.4033582262209165,293.27436461239745,None,299.2472259163262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/low 4 second.wav,num_1,images/2750.jpg,,,,,,0,16,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.2829243844733,None,300.2829243844733,None,num_1,1,5.254805557241525,300.2829243844733,None,306.23755651078113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 1 second.wav,num_1,images/2512.jpg,,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.2738231665505,None,307.2738231665505,None,num_1,1,2.1510477668211934,307.2738231665505,None,313.2280262225647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 1 second.wav,num_2,images/5533.jpg,,,,,,0,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.2628166722054,None,314.2628166722054,None,num_2,1,2.002060619099211,314.2628166722054,None,320.2181555025261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 4 second.wav,num_1,images/7175.jpg,,,,,,0,19,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.2528777456139,None,321.2528777456139,None,num_2,0,5.13887274700528,321.2528777456139,None,327.2084040688362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 4 second.wav,num_2,images/7045.jpg,,,,,,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.2434357953996,None,328.2434357953996,None,num_2,1,4.921836192499995,328.2434357953996,None,334.19881368674146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/low 1 second.wav,num_1,images/6311.jpg,,,,,,0,21,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.23355666221755,None,335.23355666221755,None,num_1,1,2.0188820976127317,335.23355666221755,None,341.18926356754514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 4 second.wav,num_1,images/2499.jpg,,,,,,0,22,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.2251095661643,None,342.2251095661643,None,num_1,1,5.237588060067537,342.2251095661643,None,348.17924711985074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/high 4 second.wav,num_2,images/2490.jpg,,,,,,0,23,23,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.22054062857,None,349.22054062857,None,num_2,1,5.032285436308939,349.22054062857,None,355.1698844935556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/high 1 second.wav,num_2,images/2700.jpg,,,,,,0,24,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.20591888648437,None,356.20591888648437,None,num_2,1,2.06780482469685,356.20591888648437,None,362.1767039469057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Unpleasant,sounds/low 1 second.wav,num_1,images/9471.jpg,,,,,,0,25,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.2129694007979,None,363.2129694007979,None,num_1,1,2.3010285668269717,363.2129694007979,None,369.1670829169327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 1 second.wav,num_1,images/7056.jpg,,,,,,0,26,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.2074446700633,None,370.2074446700633,None,num_1,1,2.314231191968247,370.2074446700633,None,376.1574180184282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/high 4 second.wav,num_2,images/1441.jpg,,,,,,0,27,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.1975985885149,None,377.1975985885149,None,num_2,1,5.116478763123723,377.1975985885149,None,383.14761670681924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 4 second.wav,num_2,images/5530.jpg,,,,,,0,28,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.1839158132832,None,384.1839158132832,None,num_2,1,4.9203635920034685,384.1839158132832,None,390.1546981694803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/low 4 second.wav,num_1,images/2306.jpg,,,,,,0,29,29,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.19500223248747,None,391.19500223248747,None,num_1,1,5.200087076030286,391.19500223248747,None,397.1450458906904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 1 second.wav,num_2,images/2210.jpg,,,,,,0,30,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.17983153282034,None,398.17983153282034,None,num_2,1,2.4194192167005895,398.17983153282034,None,404.1518803675101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 4 second.wav,num_1,images/9700.jpg,,,,,,0,31,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.1879550233373,None,405.1879550233373,None,num_1,1,5.304281748948142,405.1879550233373,None,411.1590264310905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/low 1 second.wav,num_1,images/2383.jpg,,,,,,0,32,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.1950866643872,None,412.1950866643872,None,num_1,1,2.234475497622043,412.1950866643872,None,418.1492073917873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Neutral,sounds/high 4 second.wav,num_2,images/7031.jpg,,,,,,0,33,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.17059239944615,None,419.17059239944615,None,num_2,1,5.202241742049409,419.17059239944615,None,425.1395914697939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/low 1 second.wav,num_1,images/8510.jpg,,,,,,0,34,34,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.1762072709987,None,426.1762072709987,None,num_1,1,1.7673315253086912,426.1762072709987,None,432.12999988582146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
,Pleasant,sounds/low 1 second.wav,num_1,images/4150.jpg,,,,,,0,35,35,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.1653834620445,None,433.1653834620445,None,num_1,1,2.168434428263936,433.1653834620445,None,439.1202860108058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,001,2019_May_02_0937,MAER M R1 P1 v1,3.1.0,59.8985650445283,
